nuts0_code,sector,useful heat demand [kWh/m2y],hot water demand [kWh/m2y],useful cold demand [kWh/m2y]
AT,residential,134.9925,18.66666667,35
BE,residential,159.3333333,16,28
BG,residential,58.52666667,7.94,45.66666667
HR,residential,122.105,13.28,50.84
CY,residential,53.075,17.825,53
CZ,residential,139.61,15.145,33
DK,residential,126,21,20.5
EE,residential,189.65,38.34,24
FI,residential,169,53,27
FR,residential,131.6666667,20,35.33333333
DE,residential,178.5,25.66666667,34.124
EL,residential,90.66666667,21,50.73333333
HU,residential,128.055,26.085,45
IE,residential,102.2666667,15,12
IT,residential,116.68,20,47.25
LV,residential,174.475,33.795,29
LT,residential,163.4,12.525,31
LU,residential,199.0575,27,30
MT,residential,21,8.785,53
NL,residential,116.6666667,24.21,23.33333333
PL,residential,150.15,32.17,35
PT,residential,89.75,23,38
RO,residential,119.3733333,32.17,50
SK,residential,126.98,21.79,43
SI,residential,123.46,23.55,47
ES,residential,49,17.66666667,48
SE,residential,124,15,25.33333333
UK,residential,134.39,13,27
AT,service,130.2266667,5.76,84.176
BE,service,160.855,7.765,74.355
BG,service,60.45,4.97,88.605
HR,service,111,2.18,108.91
CY,service,24.685,5.68,177.87
CZ,service,168.23,5,48.415
DK,service,116,1.32,46.5
EE,service,125.675,4,54.5
FI,service,166,2.57,56.42
FR,service,147.5,6.91,76.5
DE,service,94.7125,5.86,77.5
EL,service,120,4.075,136.555
HU,service,108.24,5.53,82.27
IE,service,162,6.76,29.95
IT,service,132.27,5.62,109.5
LV,service,136.595,4,24.965
LT,service,92.24,2.19,33.32
LU,service,247,6,74.805
MT,service,39.5,4.345,107.555
NL,service,168.25,6,54
PL,service,67.95,2.49,74
PT,service,62.33333333,2.98,80.5
RO,service,121,1.82,48.865
SK,service,107,9,88
SI,service,145.5,5.43,47.49
ES,service,84.6,3.47,114.6666667
SE,service,162.5,2.48,55.26666667
UK,service,105.5,5.675,48.5
