idx_NUTS3,1,2,3,4,5,6,7
BE100,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE211,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE212,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE213,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE221,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE222,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE223,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE231,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE232,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE233,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE234,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE235,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE236,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE241,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE242,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE251,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE252,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE253,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE254,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE255,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE256,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE257,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE258,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE310,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE321,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE322,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE323,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE324,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE325,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE326,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE327,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE331,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE332,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE334,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE335,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE336,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE341,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE342,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE343,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE344,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE345,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE351,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE352,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BE353,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BEZZZ,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG311,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG312,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG313,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG314,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG315,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG321,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG322,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG323,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG324,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG325,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG331,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG332,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG333,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG334,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG341,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG342,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG343,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG344,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG411,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG412,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG413,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG414,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG415,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG421,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG422,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG423,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG424,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BG425,0.299,0.34,0.025,0.025,0.052,0.157,0.157
BGZZZ,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ010,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ020,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ031,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ032,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ041,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ042,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ051,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ052,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ053,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ063,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ064,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ071,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ072,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZ080,0.299,0.34,0.025,0.025,0.052,0.157,0.157
CZZZZ,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK011,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK012,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK013,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK014,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK021,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK022,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK031,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK032,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK041,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK042,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DK050,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DKZZZ,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE111,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE112,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE113,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE114,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE115,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE116,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE117,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE118,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE119,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE11D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE121,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE122,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE123,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE124,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE125,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE126,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE127,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE128,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE129,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE12A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE12B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE12C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE131,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE132,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE133,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE134,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE135,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE136,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE137,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE138,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE139,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE13A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE141,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE142,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE143,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE144,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE145,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE146,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE147,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE148,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE149,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE211,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE212,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE213,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE214,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE215,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE216,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE217,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE218,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE219,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DE21C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
