Countries,CNTR_ID,Residential,Service
Austria,AT,145,116.6228571
Belgium,BE,159,160.855
Bulgaria,BG,60,60.45
Croatia,HR,112,111
Cyprus,CY,53,24.685
Czech Republic,CZ,140,190.4133333
Denmark,DK,134,84.1
Estonia,EE,181,125.675
Finland,FI,181,166
France,FR,142,122.7666667
Germany,DE,174,94.7125
Greece,EL,90,98.33333333
Hungary,HU,128,108.24
Ireland,IE,117,148.948
Italy,IT,123,130.362
Latvia,LV,192,136.595
Lithuania,LT,144,92.24
Luxembourg,LU,208,189.6666667
Malta,MT,22,39.5
Netherlands,NL,115,146.1666667
Poland,PL,150,67.95
Portugal,PT,85,61.7
Romania,RO,116,121
Slovakia,SK,136,107
Slovenia,SI,123,145.5
Spain,ES,49,80.05
Sweden,SE,125,162.5
United Kingdom,UK,135,104.45
