idx_NUTS3,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BE100,49,48,45,48,46,46,50,46,50,48,50,49,50,49,47,45,46,45,46,45,49,48,49,48,50,45,49,49,45,49,49,45,49,50,47,45
BE211,48,46,48,46,45,48,46,47,50,50,49,46,48,47,49,49,48,47,50,48,46,48,45,45,45,50,49,48,50,46,47,46,46,50,49,48
BE212,50,50,48,49,45,47,50,46,48,48,46,50,48,47,47,46,47,45,49,46,45,49,50,46,49,46,46,48,47,46,49,48,48,45,50,47
BE213,47,49,47,45,50,48,47,47,47,45,49,47,46,47,46,50,46,45,49,48,49,49,49,48,49,49,50,45,45,48,50,47,49,49,46,47
BE221,50,45,50,50,45,48,49,47,49,47,46,50,49,48,45,48,47,49,49,46,47,48,50,47,47,45,50,50,45,45,49,48,45,46,46,45
BE222,45,50,50,48,46,49,49,47,46,45,45,46,48,50,50,45,45,49,47,46,47,45,48,47,45,49,50,49,50,46,47,49,46,47,45,46
BE223,48,47,47,47,49,49,49,46,48,45,46,47,47,45,46,47,47,48,46,49,49,46,45,50,48,46,47,46,50,50,47,46,49,50,49,50
BE231,49,48,48,50,48,47,48,48,45,48,48,46,49,45,50,50,45,46,50,49,50,45,46,48,47,48,45,48,48,49,50,49,50,47,45,46
BE232,45,49,46,49,47,47,49,46,45,50,49,48,49,47,47,47,48,49,45,48,45,47,49,46,45,48,47,48,49,47,50,50,47,47,49,50
BE233,46,45,46,45,46,50,50,47,50,49,45,47,47,47,49,45,47,48,49,45,50,47,48,47,47,46,45,49,48,50,45,45,48,45,48,45
BE234,49,48,47,45,45,45,48,45,46,48,50,47,48,45,50,49,45,48,48,49,48,47,48,50,49,49,47,47,49,46,48,50,50,48,46,50
BE235,47,49,45,49,45,47,47,47,46,46,48,49,47,50,45,47,46,50,45,47,46,49,50,46,49,47,45,45,48,46,50,49,48,45,48,46
BE236,48,45,46,47,45,50,49,50,45,48,50,50,47,50,49,48,47,48,50,46,49,50,47,47,46,46,50,46,49,50,49,47,48,46,48,45
BE241,48,47,45,49,45,48,49,46,48,45,46,47,46,46,50,50,46,48,49,48,50,49,46,47,48,45,48,45,50,50,50,48,48,50,46,46
BE242,46,48,48,48,45,48,45,45,48,45,45,48,49,48,47,49,50,45,48,48,47,50,48,47,50,47,47,45,45,46,50,46,47,50,49,48
BE251,47,50,45,45,49,49,48,47,49,50,45,45,46,50,48,45,49,50,46,50,45,45,49,45,49,46,45,48,47,46,50,45,50,48,49,47
BE252,46,48,48,45,47,45,49,49,48,49,48,48,48,50,48,50,48,50,48,48,46,45,48,49,49,45,45,46,49,45,46,46,49,48,50,45
BE253,50,46,46,46,49,50,46,50,47,48,45,49,49,45,45,49,49,46,45,50,46,48,45,47,48,47,47,47,50,47,47,48,45,47,48,47
BE254,49,45,48,49,45,49,45,47,45,45,49,49,49,45,46,50,47,48,47,46,47,45,47,45,46,48,50,50,46,47,49,46,48,49,47,47
BE255,47,50,46,45,49,48,48,49,50,46,48,45,50,46,48,48,45,48,47,50,49,50,47,45,48,47,45,49,46,47,48,48,49,50,49,45
BE256,50,46,49,47,45,50,49,46,46,46,48,49,46,49,50,50,46,47,48,48,50,45,49,49,48,49,47,50,46,49,49,48,46,49,46,48
BE257,45,47,49,48,49,46,50,45,47,49,45,47,45,45,46,46,46,48,50,47,49,45,50,49,45,50,45,45,45,49,48,48,48,50,45,48
BE258,47,46,49,46,45,47,50,47,45,48,49,48,45,49,45,49,47,50,50,48,45,49,45,50,45,50,48,46,49,49,45,50,45,45,46,48
BE310,47,45,47,46,47,47,50,50,49,45,50,46,50,48,48,49,48,50,46,46,47,46,48,49,50,45,46,49,46,50,49,50,50,45,48,50
BE321,47,45,49,48,46,47,50,45,45,47,48,46,48,49,46,50,49,48,47,49,50,47,47,50,49,45,47,50,49,49,46,50,49,47,49,48
BE322,49,47,49,45,46,47,50,47,47,48,49,50,45,47,50,45,50,45,46,50,47,46,45,48,47,48,45,47,48,47,47,45,46,49,49,46
BE323,46,49,49,49,45,50,47,47,47,49,47,46,47,45,50,46,49,46,49,49,46,46,49,46,47,45,45,48,47,45,45,49,48,47,46,48
BE324,48,48,49,48,48,50,50,45,49,47,50,50,50,46,49,49,50,46,47,47,45,49,49,47,45,49,49,45,48,49,48,48,45,48,48,46
